epoch,train_accuracy,train_loss,train_eval_loss,test_accuracy,test_loss
0,50.22833333333333,2.1674842986654728,2.0488062006361942,51.83,2.040540838241577
1,65.825,1.9384778961222222,1.8266496130760679,67.42,1.8122456133365632
2,71.43333333333334,1.7169054401681778,1.607605260483762,73.09,1.588550391793251
3,75.25166666666667,1.50535181836879,1.406399780131401,76.6,1.3839282363653183
4,77.87833333333333,1.3182149831284868,1.2346820861735242,79.29,1.2103624880313872
5,79.625,1.163184453071432,1.0957462397027522,81.09,1.070366521179676
6,80.69166666666666,1.038287426055746,0.9850719018185392,82.04,0.9592945262789726
7,81.86833333333334,0.9400936390491242,0.8973597359150014,82.85,0.8714037016034126
8,82.56666666666666,0.8614384301165317,0.827700849035953,83.46,0.8021703585982323
9,83.27,0.7989991390958745,0.7709130492616207,84.03,0.7455973237752914
10,83.88666666666667,0.7476721230973589,0.7248578966932094,84.67,0.6997443862259388
11,84.27,0.7050739169120789,0.686220676848229,85.03,0.6613834783434868
12,84.80166666666666,0.6699453602445886,0.6538129560490872,85.55,0.6290076099336147
13,85.11333333333333,0.6397721749670962,0.6262844483903114,85.86,0.6016717046499253
14,85.43666666666667,0.6141074733531221,0.6020437027545685,86.22,0.5779410563409328
15,85.735,0.5918207374024899,0.5813164582911958,86.58,0.5572470478713513
16,86.00166666666667,0.572445329833538,0.5633666836200877,86.9,0.5394063483923673
17,86.23,0.5551578983347467,0.5471787895293946,86.99,0.5232756100594997
18,86.46666666666667,0.5398718344404342,0.5323790581936532,87.22,0.5089660301804543
19,86.74666666666667,0.5261780345693547,0.5194263090478614,87.47,0.49617917835712433
20,86.94333333333333,0.5138798429610881,0.5077028606800322,87.64,0.4843954242765903
21,87.12166666666667,0.50244338880194,0.49720647258961453,87.84,0.4737090528011322
22,87.29833333333333,0.49266551035515804,0.4875634916285251,87.99,0.46407954916357996
23,87.44166666666666,0.4830831280414094,0.478760722723413,88.04,0.4551732510328293
24,87.61666666666666,0.4744360758903179,0.4701569491244377,88.24,0.44743884112685917
25,87.73666666666666,0.4662846049095722,0.4628555824147894,88.36,0.43994296416640283
26,87.84166666666667,0.4595404438515927,0.4557998463194421,88.46,0.4329182667657733
27,88.01,0.45259566662159373,0.4494301789618553,88.5,0.4266103791072965
28,88.14,0.44608019970832985,0.4429806965462705,88.66,0.42064530234783887
29,88.23333333333333,0.4400967652493335,0.4373518253894562,88.72,0.4150996008887887
30,88.315,0.43495505071700885,0.4319310583966844,88.79,0.4099250178784132
31,88.35333333333334,0.4298069123257982,0.4270418640146864,88.79,0.40513681508600713
32,88.48166666666667,0.4249017097848527,0.4226243145922397,88.85,0.40046959221363065
33,88.54833333333333,0.4207018104005367,0.41793878179915406,88.93,0.39614707678556443
34,88.63333333333334,0.41659698651192034,0.4139677232884346,89.1,0.3922002915292978
35,88.72,0.4119259448761636,0.40994290734859223,89.05,0.3884005188941956
36,88.78166666666667,0.408124333493253,0.4059496144030956,89.16,0.38478385880589483
37,88.88,0.40485211407884636,0.40300564486929713,89.31,0.381513898819685
38,88.93333333333334,0.40122126442320805,0.3993071994882949,89.34,0.3779484983533621
39,89.00833333333334,0.39801704642620495,0.39619913735288254,89.36,0.37469841334968806
40,89.065,0.39489494486058013,0.3928802302543153,89.44,0.37196671180427077
41,89.13333333333334,0.39169138543149257,0.3901411445851022,89.53,0.36901844050735233
42,89.20666666666666,0.3885128801173352,0.38754931548808486,89.67,0.3664965512230992
43,89.24333333333334,0.3861615041469006,0.38503855162478506,89.66,0.36367196775972843
44,89.29333333333334,0.3837859685116626,0.38221365207053243,89.72,0.3612898074090481
45,89.385,0.38083658104247237,0.37974221490799115,89.81,0.359186508320272
46,89.37333333333333,0.3785679717013176,0.377633872311166,89.74,0.3569416515529156
47,89.42833333333333,0.37632778857616667,0.3746274530887604,89.97,0.35466838758438823
48,89.49833333333333,0.3737099481389878,0.3726142072931249,89.99,0.35259516509249805
49,89.57833333333333,0.37204461503536146,0.3704224443182032,89.99,0.3506822341121733
50,89.585,0.3695415846844937,0.36847948127604546,90.01,0.3484640808776021
51,89.63333333333334,0.3675939644904847,0.3661922979862132,90.04,0.34673811849206687
52,89.66166666666666,0.36534766928946716,0.36447325539081654,90.14,0.3448845035396516
53,89.74166666666666,0.3636561838870353,0.3625023462670915,90.21,0.34307489059865476
54,89.74833333333333,0.36213815770250685,0.36065266106991056,90.29,0.34136729314923286
55,89.79833333333333,0.35988746234711183,0.3591245365269641,90.28,0.3399681243114173
56,89.84,0.3582963067800441,0.357874502907408,90.3,0.33810971369966863
57,89.91333333333333,0.3569540759984483,0.3557494006258376,90.32,0.3369038116186857
58,89.875,0.35513803705256036,0.35450801177227753,90.38,0.33532424792647364
59,89.97666666666667,0.35329240408349544,0.35251751960592065,90.44,0.33389575555920603
60,90.02166666666666,0.3517113154872935,0.35108086422402807,90.51,0.3329698033630848
61,90.01666666666667,0.35056687739301234,0.34972409567934404,90.48,0.33103810586035254
62,90.075,0.3493926093299338,0.34803332699106093,90.46,0.3299760458059609
63,90.10166666666667,0.3474177956581116,0.34674888468803244,90.54,0.32832582071423533
64,90.15333333333334,0.34591897212444467,0.34516413643005045,90.61,0.32725301729515194
65,90.13333333333334,0.3450410552481388,0.3437227694278068,90.61,0.32589172311127185
66,90.17333333333333,0.3430924027524096,0.3428482154582409,90.65,0.3248438032343984
67,90.23666666666666,0.3422992875601383,0.34120625828174833,90.68,0.32357870740815997
68,90.25,0.34105377805993914,0.3401235820765191,90.68,0.3225689880549908
69,90.26666666666667,0.33968319423655247,0.3389994227505745,90.75,0.3214966405183077
70,90.31333333333333,0.33834426878614626,0.33756507692184856,90.82,0.3202604742720723
71,90.365,0.33724296910965695,0.33638213695363794,90.85,0.31944003226235507
72,90.42,0.33647832369550745,0.33560357125515633,90.81,0.3185426115989685
73,90.43666666666667,0.3352318254557062,0.33474247271710256,90.82,0.31753183659166095
74,90.405,0.33383750528731243,0.33352641628143637,90.93,0.31601403616368773
75,90.46,0.332895486659192,0.3317776822663368,90.97,0.31502629686146977
76,90.51166666666667,0.331545058083027,0.33086177136035677,90.94,0.3142388748936355
77,90.535,0.3305530827096168,0.3304510209154575,91.03,0.31330313412472605
78,90.545,0.32970682078219476,0.3289865494408506,91.06,0.3121629345230758
79,90.55833333333334,0.3288140138413044,0.32803975806591357,91.09,0.3113086590543389
80,90.635,0.3277138562278545,0.32739155901239275,91.15,0.31035938300192356
81,90.65,0.32685327200179404,0.32610030459596756,91.03,0.3097460750490427
82,90.66333333333333,0.32563170562399196,0.3251363604626757,91.16,0.30868042837828397
83,90.685,0.32474880675052076,0.3241838089329131,91.2,0.3079878676682711
84,90.74833333333333,0.3238967977305676,0.3234422047087487,91.15,0.30723927039653065
85,90.745,0.32291873788579983,0.3223741975870538,91.24,0.306537180673331
86,90.78833333333333,0.32224762268522955,0.32174676999132684,91.2,0.305629743821919
87,90.76833333333333,0.3212343023178425,0.3208405080627888,91.27,0.3047963890247047
88,90.86,0.32009956380154225,0.3195520884813146,91.25,0.30423620287328956
89,90.86333333333333,0.3198087349851081,0.3188780997661834,91.25,0.30329874753952024
90,90.86333333333333,0.31901562410466217,0.31808951072236324,91.33,0.30268448451533914
91,90.91,0.3179710145326371,0.317300424550442,91.36,0.3018204281106591
92,90.94833333333334,0.3167371967371474,0.31639036174784313,91.33,0.301142643392086
93,90.96,0.31619243583780654,0.3159316709701051,91.36,0.3004741788841784
94,90.99166666666666,0.31540979863481317,0.31474198698997496,91.41,0.29937943825498226
95,91.005,0.3145941989853027,0.31400055561928036,91.39,0.29890731498599055
96,90.99833333333333,0.31383915917670474,0.3136982669855686,91.46,0.29829279724508523
97,91.02,0.3128853072511389,0.3125817270355022,91.46,0.297435081191361
98,91.06,0.3121961047040655,0.31175109706026444,91.45,0.2970619570463896
99,91.08666666666667,0.311554265085687,0.3112187345611288,91.5,0.2961951299570501
100,91.11333333333333,0.3106600878720588,0.3104134271119503,91.55,0.29542817939072846
101,91.15,0.3102254017870477,0.30936495319325874,91.52,0.29494972275570036
102,91.16333333333333,0.30936243508724454,0.30889391512312786,91.54,0.29424697933718563
103,91.18,0.30874887140507395,0.3081651229807671,91.61,0.2938191644847393
104,91.23666666666666,0.3080327274317437,0.3073624612169063,91.59,0.2932196062989533
105,91.24166666666666,0.30794436417995613,0.30660835396736225,91.6,0.292380289034918
106,91.20166666666667,0.3067560772312448,0.30593207814591994,91.53,0.291818868694827
107,91.25833333333334,0.30619270662043957,0.3051433339397958,91.64,0.2912880113348365
108,91.3,0.30501612754578283,0.30451677042119046,91.68,0.2905224749818444
109,91.33,0.30446645129234234,0.3038784517252699,91.75,0.28988972078077496
110,91.32,0.30389499962329863,0.3033439335670877,91.67,0.2894428204745054
111,91.36666666666666,0.30313491605697795,0.30239848836939387,91.73,0.2888201634399593
112,91.35333333333334,0.3022061970005644,0.3021752890120161,91.68,0.28817117139697074
113,91.405,0.30187685591109253,0.30123640590525685,91.75,0.2878284754231572
114,91.4,0.30171110002284357,0.3005061997378126,91.78,0.28706129221245646
115,91.44,0.30089787403319745,0.29990962959350426,91.76,0.2864391439594328
116,91.475,0.2996994823217392,0.2996058566139099,91.75,0.28590776724740863
117,91.47166666666666,0.299515397117493,0.2987995034202616,91.79,0.28517439258284866
118,91.445,0.298912391003142,0.29817815702012246,91.8,0.2847423832863569
119,91.51333333333334,0.298020726759383,0.2974648246739773,91.82,0.28416187800467013
120,91.53,0.29729822087795177,0.2965918490227233,91.79,0.28402214953675864
121,91.55166666666666,0.2969813854770457,0.29644533351380775,91.81,0.2831688530743122
122,91.56833333333333,0.2965095894767883,0.29633835205372344,91.87,0.28274652706459164
123,91.58166666666666,0.2957445544765351,0.2948614258081355,91.85,0.2821075967513025
124,91.615,0.29517612412888955,0.2947621817284442,91.87,0.2815093368291855
125,91.58666666666667,0.29427052209986015,0.294066373464909,91.92,0.2813095852266997
126,91.63,0.2941297209009211,0.2935823238276421,91.87,0.2804251889698207
127,91.65333333333334,0.2934862628262094,0.29285734771414007,91.9,0.2800544167403132
128,91.675,0.293018273597068,0.29214607559620065,91.94,0.27944736764766276
129,91.67333333333333,0.29234881033288673,0.2918867716763882,91.94,0.2787443938665092
130,91.715,0.2916013393630373,0.29129242516578513,92.02,0.2788674645125866
131,91.725,0.2910276068017838,0.2906065712583826,92.01,0.27800565417855977
132,91.72333333333333,0.2903440716418814,0.2901958069268693,92.07,0.2776425394229591
133,91.73666666666666,0.2899844372526128,0.2893962465068127,92.02,0.27695700312033295
134,91.74,0.28934944753951214,0.28864314708303895,92.05,0.27650921829044817
135,91.78166666666667,0.28888703324693316,0.2883879552496241,92.03,0.2759708126541227
136,91.775,0.2883215513001097,0.28772304495598405,92.03,0.2754658380988985
137,91.82333333333334,0.2877447117516335,0.28733733220303315,92.12,0.27540224231779575
138,91.81666666666666,0.2866709200625724,0.2866697719122501,92.05,0.2745037435553968
139,91.845,0.28640111107775507,0.28602117540988514,92.08,0.2740562223363668
140,91.88333333333334,0.2857070391482495,0.2853904623300471,92.1,0.2736061175353825
141,91.875,0.28579470933751855,0.28502706003949996,92.06,0.2729582062922418
142,91.89833333333333,0.2854023226398103,0.2841141010218478,92.06,0.2725289961323142
143,91.91833333333334,0.2843180851099339,0.2839983101854933,92.16,0.2723509147297591
144,91.95,0.28378898602850894,0.2833413224271003,92.11,0.27161149038001897
145,91.93333333333334,0.28313743776463446,0.2828042592774046,92.18,0.2714863108936697
146,91.98166666666667,0.28297620193755374,0.28268157681252093,92.14,0.2707590823993087
147,91.985,0.2818431417358683,0.28167146672593785,92.1,0.2702658506575972
148,91.99666666666667,0.28137182536277366,0.28107824084606575,92.17,0.2698152202181518
149,92.01,0.28125476038202324,0.28085189512435427,92.19,0.2692970309406519
