trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,l2_weight
trial_000,random_init,mean_final_val_acc_pct,76.22777777777777,76.22777777777777,77.61666666666666,1.3543017881304542,0.0024775509533841666
trial_001,random_init,mean_final_val_acc_pct,76.26666666666667,76.26666666666667,77.63666666666667,1.362142919569505,0.00012352307345097314
trial_002,random_init,mean_final_val_acc_pct,76.26111111111112,76.26111111111112,77.64,1.3642946895740689,1.0436557728822442e-05
trial_003,random_init,mean_final_val_acc_pct,76.23333333333333,76.23333333333333,77.63666666666667,1.362142919569505,0.0018055017725088125
trial_004,gp_ei,mean_final_val_acc_pct,76.26111111111112,76.26111111111112,77.63666666666667,1.362142919569505,4.0054218872825944e-05
trial_005,gp_ei,mean_final_val_acc_pct,76.25555555555556,76.25555555555556,77.63666666666667,1.362142919569505,0.0003026078976800104
trial_006,gp_ei,mean_final_val_acc_pct,76.26111111111112,76.26111111111112,77.63666666666667,1.362142919569505,7.50532240304187e-05
trial_007,gp_ei,mean_final_val_acc_pct,76.27222222222223,76.27222222222223,77.64,1.3642946895740689,1.9777103547850948e-05
trial_008,gp_ei,mean_final_val_acc_pct,76.25555555555556,76.25555555555556,77.63666666666667,1.362142919569505,0.0006628171292584296
trial_009,gp_ei,mean_final_val_acc_pct,76.27222222222223,76.27222222222223,77.64,1.3642946895740689,1.9501948147908397e-05
trial_010,gp_ei,mean_final_val_acc_pct,76.26111111111112,76.26111111111112,77.63666666666667,1.362142919569505,7.503990246105335e-05
trial_011,gp_ei,mean_final_val_acc_pct,76.26666666666667,76.26666666666667,77.63666666666667,1.362142919569505,0.00018501719967505605
