trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,l2_weight
trial_000,random_init,mean_final_val_acc_pct,91.35555555555555,91.35555555555555,91.84666666666665,0.03785938897200493,0.0024775509533841666
trial_001,random_init,mean_final_val_acc_pct,91.47222222222223,91.47222222222223,91.95333333333333,0.11060440015357959,0.00012352307345097314
trial_002,random_init,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96,0.11532562594670966,1.0436557728822442e-05
trial_003,random_init,mean_final_val_acc_pct,91.38333333333333,91.38333333333333,91.88,0.05567764362830701,0.0018055017725088125
trial_004,gp_ei,mean_final_val_acc_pct,91.48333333333333,91.48333333333333,91.96,0.11532562594670966,2.5042035356024605e-05
trial_005,gp_ei,mean_final_val_acc_pct,91.47222222222223,91.47222222222223,91.94333333333333,0.09504384952922769,0.00035160371923371835
trial_006,gp_ei,mean_final_val_acc_pct,91.48333333333333,91.48333333333333,91.96,0.11532562594670966,4.7848396517580854e-05
trial_007,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96,0.11532562594670966,1.6005544729495692e-05
trial_008,gp_ei,mean_final_val_acc_pct,91.43888888888888,91.43888888888888,91.94666666666666,0.10016652800877948,0.0005954725355671325
trial_009,gp_ei,mean_final_val_acc_pct,91.47222222222223,91.47222222222223,91.94666666666666,0.10016652800877948,0.00021682778832445511
trial_010,gp_ei,mean_final_val_acc_pct,91.48333333333333,91.48333333333333,91.96,0.11532562594670966,7.174663588497495e-05
trial_011,gp_ei,mean_final_val_acc_pct,91.48333333333333,91.48333333333333,91.96,0.11532562594670966,3.4205903224142616e-05
