epoch,train_accuracy,train_loss,train_eval_loss,val_accuracy,val_loss,test_accuracy,test_loss
0,43.525925925925925,2.2041887412139025,2.100816810300565,42.733333333333334,2.105425387620926,42.733333333333334,2.105425387620926
1,60.25185185185185,2.0025525810594242,1.9019412050879962,59.0,1.9083039810260136,59.0,1.9083039810260136
2,67.58148148148148,1.8022258185662365,1.7017782480230828,66.7,1.7098350375890732,66.7,1.7098350375890732
3,72.03703703703704,1.606680421467641,1.5132504469975476,71.36666666666666,1.5224472532669704,71.36666666666666,1.5224472532669704
4,74.82592592592593,1.4287920167660826,1.347384633611164,74.63333333333334,1.357484221458435,74.63333333333334,1.357484221458435
