epoch,train_accuracy,train_loss,train_eval_loss,test_accuracy,test_loss
0,47.54833333333333,2.1851027985836597,2.072044183852825,48.56,2.0671052038669586
1,65.62833333333333,1.9658709049224854,1.85771942443036,67.11,1.8474637478590012
2,72.48166666666667,1.7510233503706911,1.6438218197924026,73.47,1.6292050898075103
3,76.45833333333333,1.5421058812039963,1.442659232971516,77.17,1.424570843577385
4,78.915,1.3530582230141823,1.2678831622955646,79.5,1.2470467761158943
5,80.43833333333333,1.1930951904743277,1.1227142257893339,81.2,1.1008313059806825
6,81.61833333333334,1.0632547908640921,1.0067347313495392,82.21,0.98371442258358
7,82.63333333333334,0.9594490594052254,0.9147726272014861,83.17,0.8910359501838684
8,83.29666666666667,0.8767658791643508,0.8408513256844053,83.76,0.8175368949770927
9,83.79666666666667,0.8103935010889743,0.7817333650081716,84.39,0.7584940254688263
10,84.32833333333333,0.7570003641412614,0.7334287503932385,84.89,0.7101955153048038
11,84.63833333333334,0.7128173090041952,0.6930893801628275,85.33,0.6701741144061089
12,85.01166666666667,0.67619580842079,0.6596044854914889,85.86,0.636434830725193
13,85.295,0.6450703141537119,0.6310958902886573,86.19,0.60791574716568
14,85.65,0.6189004218324702,0.6062764061258195,86.48,0.583640243113041
15,85.97333333333333,0.5957082639349268,0.584681075430931,86.79,0.5623543187975883
16,86.14666666666666,0.5754807743620365,0.5662461119763395,86.9,0.543689426779747
17,86.41666666666667,0.5576216960206944,0.5496271261509429,87.13,0.5269106276333332
18,86.65,0.5425059307128826,0.5348517306307529,87.28,0.512334318459034
19,86.88166666666666,0.5283254057803053,0.5216869262938804,87.55,0.49947997406125066
20,87.065,0.5158296738533263,0.509643596283933,87.69,0.4878261797130108
21,87.18,0.5044556766114336,0.49882570885597394,87.86,0.47680154368281363
22,87.365,0.49418560215767393,0.48949280038793036,88.08,0.46712820157408713
23,87.515,0.4846006709210416,0.48014486444757337,88.22,0.4582614880055189
24,87.63333333333334,0.47626821157780097,0.471948888961305,88.31,0.4501592068001628
25,87.74,0.4683361385730987,0.4640828421775331,88.3,0.44254801478236916
26,87.90666666666667,0.4609111452356298,0.457060052739813,88.51,0.43549457639455796
27,88.03333333333333,0.4542430851053684,0.4505792816902729,88.61,0.42926316186785696
28,88.13,0.4481264039557031,0.44461420596914086,88.68,0.42304185032844543
29,88.255,0.44187011173430907,0.43878296474193007,88.71,0.4175357535481453
30,88.355,0.43616974899109373,0.4334715589563897,88.86,0.41235257107764484
31,88.495,0.43146366337512404,0.42851921002915566,88.9,0.4077582359313965
32,88.54833333333333,0.4266571838805016,0.42433130373346045,88.95,0.4029250154271722
33,88.62833333333333,0.4221137414587305,0.41964437302122726,89.09,0.3987088903784752
34,88.68833333333333,0.4178363229366059,0.41563244880513944,89.18,0.39483610931783913
35,88.77833333333334,0.41349069577582337,0.411295130024565,89.21,0.39081799183040855
36,88.85666666666667,0.4095987522855718,0.4076454111870299,89.31,0.38705926164984705
37,88.94333333333333,0.4062655398186217,0.40473567145936035,89.41,0.3839854098856449
38,89.02,0.4031858221013495,0.40099239729820413,89.49,0.38077000230550767
39,89.08833333333334,0.39975529325769305,0.39746270864567856,89.63,0.3772688634693623
40,89.14166666666667,0.3960321066227365,0.3946121835962255,89.6,0.37421328108757734
41,89.16,0.39329703386793746,0.39171937919677574,89.59,0.37156417705118655
42,89.26166666666667,0.3905598114145563,0.3890410495565293,89.7,0.36854275204241277
43,89.33666666666667,0.3877903143142132,0.3864752376333196,89.71,0.3664647679775953
44,89.33666666666667,0.38532403834322665,0.38364862165552505,89.82,0.36387867853045464
45,89.41166666666666,0.3825108694903394,0.38166054411137357,89.87,0.36150219533592465
46,89.42333333333333,0.3800102559809989,0.37895668732359056,89.82,0.35938059659674765
47,89.49,0.37758841895042583,0.37688657508251516,89.88,0.35741122756153343
48,89.51,0.3755023900498735,0.3740382656772086,89.95,0.3550812997855246
49,89.565,0.3736325555659355,0.37200502639121197,89.97,0.352825868036598
50,89.59333333333333,0.37126116733601755,0.37010088182510215,90.03,0.35092052733525636
51,89.65,0.36922930066889903,0.36794838930698154,90.11,0.3487433763220906
52,89.705,0.3673803507013524,0.36621042667551246,90.17,0.3473324192687869
53,89.75333333333333,0.3655633420386213,0.3645608106826214,90.18,0.34565189490094783
54,89.795,0.36397837349709045,0.36248294971090683,90.25,0.3437095249071717
55,89.83333333333333,0.36179146931526507,0.3605819148586151,90.3,0.34199751298874614
56,89.855,0.3605174681607713,0.35910371897068427,90.35,0.3405002161860466
57,89.9,0.35846616334103526,0.3573724772701872,90.37,0.3391860075294971
58,89.94333333333333,0.3569897196394332,0.3558480641943343,90.33,0.33765257224440576
59,89.97166666666666,0.3554509789385694,0.354341633459355,90.45,0.3359477723017335
60,90.01833333333333,0.35383877804938785,0.3530971028703324,90.45,0.33461437495425345
61,90.02666666666667,0.3523018122987544,0.3515008716507161,90.51,0.33311074012890457
62,90.07,0.35062810448890036,0.34979056684260673,90.46,0.3319618348963559
63,90.11166666666666,0.3493099244351083,0.3485980527198061,90.55,0.3307233348488808
64,90.14,0.3482060501550106,0.3476690977811813,90.61,0.3293817195110023
65,90.18333333333334,0.3469277759815784,0.3459774046502215,90.6,0.32828565277159216
66,90.16833333333334,0.34576463084271614,0.3448827966096553,90.68,0.32695305682718756
67,90.23833333333333,0.3440460297655552,0.3433623861759267,90.64,0.3258370658382773
68,90.25333333333333,0.3431309427352662,0.3424101788312831,90.7,0.32466985965147616
69,90.29333333333334,0.3421555759424859,0.34096303639259745,90.74,0.3233875434845686
70,90.30333333333333,0.34062601321555197,0.33934269896213043,90.8,0.32251083394512536
71,90.33333333333333,0.3391030707891951,0.33867512351654944,90.77,0.321522321831435
72,90.37333333333333,0.3381397801510831,0.33750287237319543,90.88,0.3204994063824415
73,90.41333333333333,0.3370278329925334,0.3362015022876415,90.92,0.3192818104289472
74,90.44833333333334,0.3357391116466928,0.33552510002826125,90.94,0.31871604807674886
75,90.43166666666667,0.33500811774679956,0.3343989400153464,91.01,0.317243967205286
76,90.47666666666667,0.33401001026021676,0.33306831616036436,90.94,0.316483498737216
77,90.49333333333334,0.3326496272645098,0.33176249887080905,90.99,0.31559986611828206
78,90.535,0.3324730083663413,0.3312737892916862,91.05,0.3148924567736685
79,90.58333333333333,0.3308879748937931,0.3300726407385887,91.11,0.3138778558000922
80,90.58333333333333,0.32978383689484697,0.3290865470120247,91.14,0.3130061080679297
81,90.57,0.328989757946197,0.3280220007642787,91.1,0.31195481745526193
82,90.59666666666666,0.32813880316754607,0.327203945910677,91.18,0.3109782988205552
83,90.65666666666667,0.32708363431565307,0.325858602815486,91.2,0.3103736065328121
84,90.66,0.3262723630413096,0.3254781580351769,91.22,0.30941058453172443
85,90.71333333333334,0.32496340572834015,0.32438277304172514,91.26,0.3086768172681332
86,90.69333333333333,0.3242758001418824,0.323458394725272,91.29,0.3078094724565744
87,90.74,0.32351538044341066,0.32267329978181963,91.36,0.3072494274005294
88,90.76666666666667,0.3224764472626625,0.32192275619253197,91.32,0.30634554345160725
89,90.8,0.32143907616747186,0.32088778082360614,91.34,0.30559626054018735
90,90.88166666666666,0.320934129902657,0.3203685152403852,91.41,0.3050304386764765
91,90.88166666666666,0.3199008479397348,0.31949879672933135,91.42,0.30433278502896427
92,90.89833333333333,0.31944281332036284,0.31901188822502785,91.48,0.303263936098665
93,90.91833333333334,0.3182701810243282,0.318062938527858,91.43,0.30271260514855386
94,90.91833333333334,0.31726021303775465,0.3171694476553734,91.5,0.3018831009045243
95,90.94166666666666,0.31675793699761656,0.31605256833928697,91.53,0.301351510733366
