epoch,train_accuracy,train_loss,train_eval_loss,val_accuracy,val_loss,test_accuracy,test_loss
0,47.912962962962965,2.179370608939944,2.0713245416704513,47.38333333333333,2.0724630852540336,47.38333333333333,2.0724630852540336
1,64.28703703703704,1.9721300957892178,1.8717709401207512,64.01666666666667,1.8733986516793568,64.01666666666667,1.8733986516793568
2,70.56296296296296,1.7725242201185905,1.6727800527455117,69.63333333333334,1.6747276932001114,69.63333333333334,1.6747276932001114
3,74.09814814814816,1.5778626384328327,1.4843193462109678,73.68333333333334,1.4863018492857616,73.68333333333334,1.4863018492857616
4,76.73703703703704,1.3992805000730035,1.3173223897744128,76.26666666666667,1.3191800862550735,76.26666666666667,1.3191800862550735
