trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,neural_balance_epoch
trial_000,random_init,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,8
trial_001,random_init,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,2
trial_002,random_init,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74333333333334,0.041633319989328024,1
trial_003,random_init,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,10
trial_004,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74333333333334,0.041633319989328024,6
trial_005,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,3
trial_006,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74333333333334,0.041633319989328024,5
trial_007,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,12
trial_008,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,11
trial_009,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74333333333334,0.041633319989328024,9
trial_010,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,4
trial_011,gp_ei,mean_final_val_acc_pct,92.45555555555556,92.45555555555556,92.74666666666667,0.040414518843280414,7
