epoch,train_accuracy,train_loss,train_eval_loss,val_accuracy,val_loss,test_accuracy,test_loss
0,47.907407407407405,2.179423416960296,2.0714794154415763,47.36666666666667,2.072617302338282,47.36666666666667,2.072617302338282
1,64.27777777777777,1.9724597812263887,1.872307470059508,64.01666666666667,1.873932808637619,64.01666666666667,1.873932808637619
2,70.55740740740741,1.7733073861678064,1.67382245267172,69.61666666666666,1.675767223040263,69.61666666666666,1.675767223040263
3,74.08148148148148,1.579159468271156,1.4858636036868345,73.68333333333334,1.4878445118665695,73.68333333333334,1.4878445118665695
4,76.71666666666667,1.401035172679413,1.3192689757776486,76.25,1.3211267342170079,76.25,1.3211267342170079
5,78.57962962962964,1.2473039644024384,1.1786159711991442,78.2,1.18034528195858,78.2,1.18034528195858
6,79.83333333333333,1.1194161272726917,1.0632841646388809,79.38333333333334,1.0647644152243931,79.38333333333334,1.0647644152243931
7,80.87777777777778,1.0150653041934514,0.9693698820909618,80.58333333333333,0.9706400508681933,80.58333333333333,0.9706400508681933
8,81.96111111111111,0.9304131735557628,0.8932599165428307,81.95,0.8940620621045431,81.95,0.8940620621045431
9,82.54444444444445,0.8615144536393513,0.8311929222531793,82.46666666666667,0.8318212653199831,82.46666666666667,0.8318212653199831
10,83.17592592592592,0.8049942969710906,0.7798162396485206,83.0,0.7800535808006922,83.0,0.7800535808006922
11,83.6962962962963,0.7580376931276367,0.7369052476792539,83.68333333333334,0.7366704816619555,83.68333333333334,0.7366704816619555
12,84.11296296296297,0.7185044989201694,0.7006967892578992,84.18333333333334,0.7002816845973333,84.18333333333334,0.7002816845973333
13,84.6037037037037,0.6850656146686789,0.6697790786553334,84.73333333333333,0.6690066357453665,84.73333333333333,0.6690066357453665
14,84.93888888888888,0.6563656282085943,0.6430746525949776,84.93333333333334,0.6422119910518328,84.93333333333334,0.6422119910518328
15,85.20370370370371,0.6314269343823619,0.619856848253458,85.23333333333333,0.6186156819264094,85.23333333333333,0.6186156819264094
16,85.46111111111111,0.6096078533131929,0.5995148318638733,85.4,0.5983248030145963,85.4,0.5983248030145963
17,85.77962962962962,0.5903666292039139,0.5813080380313205,85.81666666666666,0.5797407974799474,85.81666666666666,0.5797407974799474
18,85.98148148148148,0.5733377529546548,0.565146637330123,86.08333333333333,0.5634118144710859,86.08333333333333,0.5634118144710859
19,86.18518518518519,0.5580151664419761,0.5507080221628126,86.13333333333334,0.5487321627636751,86.13333333333334,0.5487321627636751
20,86.4,0.5442304314595263,0.5375850536811974,86.46666666666667,0.5356077291071415,86.46666666666667,0.5356077291071415
21,86.62222222222222,0.5317408956622626,0.525736099453334,86.73333333333333,0.5236413938303789,86.73333333333333,0.5236413938303789
22,86.82037037037037,0.5204685587453616,0.5149426725803393,87.0,0.5123593409856161,87.0,0.5123593409856161
23,86.93518518518519,0.5101080302378578,0.5050099510434679,87.06666666666666,0.502643559128046,87.06666666666666,0.502643559128046
24,87.08148148148148,0.5005757471113973,0.49583643590104526,87.33333333333333,0.4931604353090127,87.33333333333333,0.4931604353090127
25,87.26481481481481,0.49181151192335154,0.4875031284528886,87.6,0.48466096197565395,87.6,0.48466096197565395
26,87.3962962962963,0.4837461988225367,0.47972084052189834,87.76666666666667,0.47684116289019585,87.76666666666667,0.47684116289019585
27,87.57222222222222,0.4762911659563887,0.47245315818990014,87.98333333333333,0.469527884076039,87.98333333333333,0.469527884076039
