epoch,train_accuracy,train_loss,train_eval_loss,test_accuracy,test_loss
0,46.916666666666664,2.1927153485886595,2.0790346815231,47.83,2.0733080863952638
1,62.65833333333333,1.9691799706601083,1.8568171810596548,64.31,1.8469422429800033
2,69.36666666666666,1.7462231955629715,1.6363038935559862,71.24,1.6224281907081604
3,73.87333333333333,1.5344567075688789,1.4356732074250567,75.23,1.4184301376342774
4,76.49,1.3481446245883373,1.2651764174725146,77.69,1.2456593483686447
5,78.475,1.192999417223829,1.1254240340374886,79.58,1.103571918606758
6,80.22833333333334,1.0673578282620044,1.0124822081403528,81.09,0.9894114971160889
7,81.55666666666667,0.9655935584230626,0.9218018904645392,82.36,0.8976656645536423
8,82.435,0.8840905691714998,0.8484974597362762,83.24,0.8240275964140892
9,83.365,0.8183858288095353,0.7888918932448042,84.15,0.7642628386616707
10,83.875,0.7637872203867486,0.740003584293609,84.66,0.7146013729274273
11,84.555,0.7191322352023835,0.6988778266500919,85.4,0.6737244784832
12,84.84166666666667,0.6812074017017445,0.6647036861866078,85.76,0.6391036100685596
13,85.31666666666666,0.6493531648148881,0.6352706713879362,86.26,0.6095744453370571
14,85.51333333333334,0.6220280512850336,0.6089751501032646,86.4,0.5843836434185505
15,85.98666666666666,0.5984384300860953,0.5872357756533522,86.79,0.5622382048517466
16,86.28333333333333,0.5775901290964573,0.5680099912146305,87.12,0.5431617129594087
17,86.54833333333333,0.5596380090459864,0.5507574154975566,87.21,0.5257448945194483
18,86.775,0.543096380284492,0.5358944956292497,87.43,0.5105011772364378
19,86.94833333333334,0.5287226924236784,0.5218482126580908,87.44,0.4972473163157701
20,87.155,0.5157083318588581,0.5094280135124287,87.59,0.4851920060813427
21,87.31166666666667,0.5039952881792759,0.4986632503093557,87.74,0.4736932821571827
22,87.49666666666667,0.4934741294130366,0.48821644656201624,87.97,0.46381029635667803
23,87.62,0.48423047433508204,0.4787639428960516,88.05,0.4545554045587778
24,87.76166666666667,0.47495527077228467,0.4709687719953821,88.26,0.44634420424699783
25,87.895,0.4669886944141794,0.4630410848779881,88.44,0.4386771809309721
26,87.95833333333333,0.4594704491026858,0.4552190502907367,88.53,0.43159911744296553
27,88.11333333333333,0.4521685487412392,0.44890945896189266,88.6,0.42517705373466014
28,88.24,0.44585260444499075,0.44274665459673457,88.78,0.41918404642492535
29,88.30666666666667,0.4400014419504937,0.4369782222078202,88.78,0.41318731047213075
30,88.39833333333333,0.43424285878526403,0.43177449512988963,89.03,0.408124728128314
31,88.48833333333333,0.4290393219349232,0.4261414696561529,89.1,0.4029776295647025
32,88.52833333333334,0.42433125440110553,0.4215165943541425,89.17,0.3985790336504579
33,88.675,0.4195280904465533,0.4174159119737909,89.29,0.39406302869319915
34,88.74,0.4151252769409342,0.4126452968475666,89.32,0.3897810187190771
35,88.8,0.410894542805692,0.40885160463921566,89.35,0.38616068214178084
36,88.935,0.40716521220004304,0.4051484232253217,89.58,0.3825967572629452
37,88.93333333333334,0.40369686661882603,0.40177979241026207,89.5,0.3789124123752117
38,89.05,0.3998401199249511,0.3983355867101791,89.69,0.3756242884323001
39,89.08666666666667,0.3974353668537546,0.3949660691809147,89.72,0.3726832404732704
40,89.17333333333333,0.3937060264830894,0.3915149896702868,89.75,0.3700309986248612
41,89.23333333333333,0.39016299095559626,0.38867281561202194,89.88,0.3669185057282448
42,89.29666666666667,0.3872406173259654,0.38589230433423466,89.84,0.3642671760171652
43,89.31333333333333,0.38522134309119366,0.38323657880438133,89.89,0.36159171937033535
44,89.35833333333333,0.3820125099192274,0.3808328596835441,89.91,0.35879404544830323
45,89.445,0.37985286497055215,0.3781789277462249,90.03,0.3569213217124343
46,89.50666666666666,0.3772793894752543,0.3758204160852635,90.11,0.3545370393432677
47,89.505,0.37493647654005824,0.3737605610426436,90.0,0.35232763830572367
48,89.55833333333334,0.37266484226318114,0.37159186779184544,90.13,0.3504642860963941
49,89.63,0.37050382431517254,0.36910920789901247,90.19,0.34820771757513286
50,89.65333333333334,0.3683681307320899,0.36748454773679695,90.2,0.34625647943466903
51,89.71166666666667,0.3662643993154485,0.36511668632639216,90.26,0.3444615128450096
52,89.80166666666666,0.36465597647301695,0.363377945600672,90.38,0.3428952650167048
53,89.75333333333333,0.36285600814413516,0.36160699509559796,90.3,0.3408821546472609
54,89.82166666666667,0.3608318753699039,0.3598786820122536,90.37,0.3395219950005412
55,89.9,0.3587086673746718,0.35790625125803843,90.39,0.33765794318169357
56,89.905,0.35704247095483416,0.3562230773428653,90.45,0.33612404093146325
57,89.955,0.3559925799040084,0.3546977968292033,90.49,0.33468304518610237
58,89.99333333333334,0.3540550771545857,0.3528914527690157,90.56,0.33298555202782154
59,90.01333333333334,0.35242128403896983,0.35183737398462095,90.58,0.3318997835740447
60,90.05833333333334,0.35075973386460163,0.3501618466478713,90.54,0.33034922685474155
61,90.09166666666667,0.34965268741262717,0.34836993096990787,90.57,0.3288889776915312
62,90.12666666666667,0.34774522553098963,0.3473511293213418,90.62,0.32789855524897576
63,90.17,0.3464784581610497,0.3457214099295596,90.64,0.32675008103251457
64,90.22166666666666,0.3452450893660809,0.34475293159484866,90.72,0.32515947669744494
65,90.215,0.344306277658077,0.3429056891101472,90.73,0.3241285211406648
66,90.25333333333333,0.3421862483024597,0.3413885923776221,90.68,0.3229342894628644
67,90.33833333333334,0.341091851034063,0.3406679182610613,90.77,0.32196745481342076
68,90.32,0.340119872384883,0.3397271825912151,90.76,0.3207271027378738
69,90.40166666666667,0.33880729034860085,0.3381262323957808,90.8,0.31979166055098174
70,90.365,0.3376099698087002,0.3366680181406914,90.88,0.3186108235269785
71,90.38666666666667,0.33652969142223926,0.3358143594036711,90.89,0.31772022135555744
72,90.47,0.3354815667614024,0.33513905665975935,90.93,0.3166065577417612
73,90.46833333333333,0.33396065108319545,0.3334802138678571,90.87,0.3156431865878403
