epoch,train_accuracy,train_loss,train_eval_loss,val_accuracy,val_loss,test_accuracy,test_loss
0,47.912962962962965,2.179372308378536,2.071329677274442,47.38333333333333,2.072468181451162,47.38333333333333,2.072468181451162
1,64.28703703703704,1.972140508805406,1.8717880514560719,64.01666666666667,1.8734156986077626,64.01666666666667,1.8734156986077626
2,70.56296296296296,1.7725494280810605,1.6728132505552464,69.63333333333334,1.6747606893380482,69.63333333333334,1.6747606893380482
3,74.0962962962963,1.5779036001006574,1.484367811284359,73.68333333333334,1.48635038236777,73.68333333333334,1.48635038236777
4,76.73518518518519,1.3993357939742752,1.317383883688687,76.26666666666667,1.3192416230837505,76.26666666666667,1.3192416230837505
