epoch,train_accuracy,train_loss,train_eval_loss,test_accuracy,test_loss
0,47.55,2.185097640625974,2.072029029562118,48.57,2.0670897722244264
1,65.63,1.9658385718122442,1.8576666390642207,67.11,1.8474101364612578
2,72.48166666666667,1.7509438763273524,1.6437142899695862,73.47,1.629096010327339
3,76.46,1.541972398250661,1.4425004756197017,77.17,1.4244103670120238
4,78.91833333333334,1.3528792330559263,1.267686833726599,79.51,1.2468483224511147
5,80.44166666666666,1.192884968189483,1.1224927055074814,81.21,1.1006084814667703
6,81.62333333333333,1.063025578793059,1.006499311264525,82.22,0.9834784224629403
7,82.63666666666667,0.9592098342611435,0.9145308355067638,83.17,0.8907939866185188
8,83.29666666666667,0.8765221260963603,0.8406059130709223,83.76,0.8172920331358909
9,83.79333333333334,0.8101475822164658,0.7814869363257225,84.39,0.7582488596439362
10,84.33166666666666,0.7567541416655196,0.7331824835310591,84.89,0.7099502786993981
11,84.63833333333334,0.7125712229850444,0.6928431736662033,85.33,0.6699295714497566
12,85.01,0.6759500234685045,0.6593587193083256,85.86,0.6361906200647354
13,85.29833333333333,0.6448249976685707,0.6308504830015467,86.19,0.6076719775795937
14,85.655,0.6186552595584951,0.6060312917891969,86.48,0.5833973109722137
15,85.97666666666667,0.5954632189679653,0.5844359274874342,86.79,0.5621115285903215
16,86.14666666666666,0.5752357462619213,0.5660010179306598,86.9,0.5434466525912285
17,86.41833333333334,0.5573764489052143,0.5493817927989554,87.13,0.5266677416861058
18,86.65166666666667,0.5422607653952659,0.5346065654399547,87.28,0.5120915398001671
19,86.88833333333334,0.5280802055876306,0.5214415622518418,87.55,0.49923753589391706
20,87.06833333333333,0.5155843803223144,0.5093979948378624,87.7,0.48758373484015466
21,87.18166666666667,0.5042103561949223,0.4985800365184216,87.88,0.476558930426836
22,87.36666666666666,0.49394022112197067,0.48924724916194345,88.08,0.46688563488423823
23,87.515,0.48435493454020073,0.4798990750566442,88.22,0.4580194763839245
24,87.63333333333334,0.47602243715144216,0.4717024251501611,88.31,0.44991666208952663
25,87.74166666666666,0.4680901824159825,0.46383660562494966,88.3,0.44230567701160906
26,87.91166666666666,0.4606652333381328,0.45681350636989515,88.51,0.43525212332606317
27,88.03333333333333,0.45399657272277993,0.45033226038547275,88.62,0.42902088537812233
28,88.13166666666666,0.4478800667093155,0.44436708105371353,88.67,0.42279894445091487
29,88.25833333333334,0.4416229206196805,0.43853547446271207,88.72,0.41729291118681433
30,88.36,0.435922435243079,0.4332235756072592,88.86,0.4121101455762982
31,88.49833333333333,0.43121608026484226,0.42827097938415853,88.9,0.4075155397877097
32,88.54833333333333,0.42640899432466384,0.42408270506148643,88.96,0.40268203150480986
33,88.63,0.4218649237713915,0.41939528381570856,89.09,0.3984654715284705
34,88.69,0.4175870662039899,0.41538304940183113,89.18,0.39459236823022364
35,88.78,0.41324133200848356,0.41104499494775815,89.21,0.39057438522577287
36,88.865,0.40934872855531407,0.40739528739706,89.31,0.38681547679007056
37,88.94,0.4060153603553772,0.4044850001943872,89.41,0.3837412538006902
38,89.02666666666667,0.4029356047194055,0.40074133467166984,89.49,0.3805260218679905
39,89.09333333333333,0.39950425802393164,0.39721082144595204,89.63,0.377024351246655
40,89.14,0.39578029259722286,0.3943600814393226,89.61,0.37396821230649946
41,89.16333333333333,0.39304446616071337,0.39146670978120035,89.59,0.37131885401904585
42,89.25833333333334,0.3903070238042385,0.3887875362913659,89.7,0.3682966209948063
43,89.33666666666667,0.38753672926983934,0.3862213137301993,89.71,0.366218876093626
44,89.33833333333334,0.38506972523445776,0.3833933976102383,89.82,0.3636317185126245
45,89.415,0.3822554935800268,0.38140548607136343,89.87,0.36125562619417906
46,89.42333333333333,0.37975441750059735,0.37870036591874795,89.83,0.35913330130279064
47,89.49166666666666,0.3773313319429438,0.3766295592201517,89.88,0.3571638694033027
48,89.515,0.37524447238191644,0.373779947516766,89.95,0.3548332240432501
49,89.56666666666666,0.3733744363835517,0.37174597116226843,89.98,0.3525771401822567
50,89.59666666666666,0.37100149779877767,0.36984138774110914,90.03,0.3506709922105074
51,89.65333333333334,0.3689691641229264,0.3676879367929824,90.11,0.34849262833595274
