trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,early_stopping_patience
trial_000,random_init,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,19
trial_001,random_init,mean_final_val_acc_pct,91.37777777777778,91.37777777777778,91.86333333333333,0.08082903768654676,8
trial_002,random_init,mean_final_val_acc_pct,90.76666666666667,90.76666666666667,91.28666666666668,0.39551653989856644,5
trial_003,random_init,mean_final_val_acc_pct,91.38888888888887,91.38888888888887,91.89666666666666,0.10785793124909095,7
trial_004,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,18
trial_005,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,16
trial_006,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,14
trial_007,gp_ei,mean_final_val_acc_pct,91.40555555555557,91.40555555555557,91.92,0.12999999999999656,12
trial_008,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,15
trial_009,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,20
trial_010,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.96333333333332,0.11503622617825134,17
trial_011,gp_ei,mean_final_val_acc_pct,91.46666666666665,91.46666666666665,91.94333333333333,0.08621678104251779,13
