trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,l2_weight
trial_000,random_init,mean_final_val_acc_pct,88.39444444444445,88.39444444444445,89.06,0.10148891565092301,0.0024775509533841666
trial_001,random_init,mean_final_val_acc_pct,91.33333333333333,91.33333333333333,91.85000000000001,0.05291502622128934,0.00012352307345097314
trial_002,random_init,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.95666666666666,0.1101514109457212,1.0436557728822442e-05
trial_003,random_init,mean_final_val_acc_pct,88.86666666666667,88.86666666666667,89.48333333333333,0.10785793124909095,0.0018055017725088125
trial_004,gp_ei,mean_final_val_acc_pct,91.43333333333334,91.43333333333334,91.94666666666667,0.09712534856222158,3.2277875991711836e-05
trial_005,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.95333333333333,0.11503622617824413,1.5378162307877676e-05
trial_006,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.95333333333333,0.11503622617824413,1.254913489890377e-05
trial_007,gp_ei,mean_final_val_acc_pct,91.42222222222222,91.42222222222222,91.92,0.07211102550927923,6.426748317149187e-05
trial_008,gp_ei,mean_final_val_acc_pct,91.47222222222223,91.47222222222223,91.95,0.10999999999999943,2.031216282532284e-05
trial_009,gp_ei,mean_final_val_acc_pct,91.24444444444445,91.24444444444445,91.69,0.03605551275463666,0.00026780003516626313
trial_010,gp_ei,mean_final_val_acc_pct,91.42777777777779,91.42777777777779,91.93,0.07810249675906557,4.6860468148631394e-05
trial_011,gp_ei,mean_final_val_acc_pct,91.47777777777777,91.47777777777777,91.95,0.10999999999999943,1.767869415320833e-05
