epoch,train_accuracy,train_loss,train_eval_loss,val_accuracy,val_loss,test_accuracy,test_loss
0,43.51851851851852,2.196699297258639,2.094049122661211,43.05,2.094600240389506,43.05,2.094600240389506
1,62.916666666666664,1.9985076669268134,1.901513384981743,62.88333333333333,1.9025710076093674,62.88333333333333,1.9025710076093674
2,71.0962962962963,1.8056338121540738,1.708680617865793,71.08333333333333,1.7102416008710861,71.08333333333333,1.7102416008710861
3,75.1,1.6151000764132677,1.5222819992716279,74.95,1.5238458961248398,74.95,1.5238458961248398
4,77.92222222222222,1.436737458287822,1.3534616774292354,77.88333333333334,1.3547431131203969,77.88333333333334,1.3547431131203969
