trial,proposal_source,objective_name,objective_value,mean_final_val_acc_pct,mean_final_test_acc_pct,sigma_final_test_acc_pct_across_seeds,neural_balance_epoch
trial_000,random_init,mean_final_val_acc_pct,96.10555555555557,96.10555555555557,96.30666666666666,0.08736894948054237,8
trial_001,random_init,mean_final_val_acc_pct,96.13333333333333,96.13333333333333,96.31666666666666,0.07505553499465409,2
trial_002,random_init,mean_final_val_acc_pct,96.12777777777778,96.12777777777778,96.31333333333333,0.08020806277010435,1
trial_003,random_init,mean_final_val_acc_pct,96.10000000000001,96.10000000000001,96.3,0.0888819441731558,10
trial_004,gp_ei,mean_final_val_acc_pct,96.12222222222222,96.12222222222222,96.31333333333333,0.08020806277010435,4
trial_005,gp_ei,mean_final_val_acc_pct,96.09444444444445,96.09444444444445,96.28000000000002,0.08888194417315019,12
trial_006,gp_ei,mean_final_val_acc_pct,96.12222222222222,96.12222222222222,96.31333333333333,0.08326663997864467,6
trial_007,gp_ei,mean_final_val_acc_pct,96.13333333333333,96.13333333333333,96.31666666666666,0.08082903768654559,3
trial_008,gp_ei,mean_final_val_acc_pct,96.11666666666667,96.11666666666667,96.30666666666666,0.07767453465154252,5
trial_009,gp_ei,mean_final_val_acc_pct,96.11666666666667,96.11666666666667,96.31,0.09165151389912027,7
trial_010,gp_ei,mean_final_val_acc_pct,96.0888888888889,96.0888888888889,96.29333333333334,0.0907377172587754,11
trial_011,gp_ei,mean_final_val_acc_pct,96.11111111111113,96.11111111111113,96.3,0.09165151389911252,9
